Country,Year,Urban Population (As a %),Life Expectancy,World Bank Classification,Continental Classification,Mobile Phone Subscriptions per 100 people,Infant Mortality per 1000 births,Internet Access (Users per 100 people),Trade as a % of GDP,Percentage of Women formally employed,Unmployment %,Fertility Rate (child/woman),"GNI per Capita, PPP(ci$)",Gross Capital Formation (%GDP),Gross Domestic Savings(%GDP),Net ODA received(%GNI),HIV/AIDS newly infected,Tuberculosis Incidence (per100k),World Bank Corruption Index,Transparency International CPI,Political Stability/Absence of Violence Index,Women in National Parliaments,Value Added By Manufacturing(%ofGDP),Value Added By Services(%ofGDP),Government Effectivness Index,Perceived Rule Of Law,Regulatory Quality,Voice And Accountability,Tax Revenue as a % of GDP,Freedom House Ranking,Tertiary Enrollment Rate,Electricity Consumption (kWh/capita),Improved Sanitation Access,ATMs per 100k people,Business Startup Cost (%ofGNIpercap),Market Capitalization of Domestic Companies (%GDP),Bank Branches (per 100k),Primary Education Enrollment,Intentional Homicides (per100k),Poverty Rate (%ofPopUnder$1.90aDay)
Bolivia,2009,66,65.85,3,3,64.69,38.4,16.8,68.6,63.2,3.4,3.27,4910,16.97,19.79,4.35,1600,139,30.14,27,27.49,22.3,14.41,49.93,33.49,13.27,22.01,47.39,,68,,553.65,45.8,16.96,94.8,16.10,6.9,,8.6,11.92
Brazil,2009,84,72.98,6,7,87.54,15.4,39.22,22.1,58.9,8.3,1.86,12470,18.8,18.39,0.02,43000,46,55.5,37,50.71,8.8,15.27,69.18,51.2,48.82,55.02,61.61,14.42,77,37.04,2165.68,79.9,113.49,6.9,80.22,18.71,96.59,,6.18
Burundi,2009,10.4,54.35,1,4,10.31,66.4,0.9,49.9,82.9,7.1,6.39,680,23.25,-13.07,32.59,3500,152,13.4,18,12.8,31.4,10.65,42.84,14.35,12.32,11,29.38,,43,2.71,,46.7,0.25,145.7,,1.88,86.84,4.1,75.22
Central African Republic,2009,38.6,46.93,1,4,20.24,103.6,1.8,33.9,72.2,6.9,4.71,850,13.17,0.61,12.25,7800,467,19.14,20,4.74,9.6,6.79,31.66,4.78,5.69,7.66,19.43,8.22,40,2.44,,20.3,0.31,244.9,,0.74,67.13,,66.56
China,2009,47.9,74.8,6,7,55.3,14.6,28.9,44.5,64.1,4.4,1.54,8360,46.44,50.65,0.02,,83,34.93,36,30.81,21.3,31.55,44.33,58.37,45.5,45.93,5.21,10.29,16,22.52,2632.66,69.6,19.62,4.9,69.93,,,1.1,12.92
Colombia,2009,74.7,73.1,6,3,92.05,16.4,30,34.3,54.4,11.8,2.04,9890,22.44,20.22,0.47,9900,31,48.8,37,5.21,8.4,14.32,58.04,48.8,42.18,55.98,43.13,12.6,60,37.08,1049.98,78.9,27.86,13.1,60.10,30.48,96.85,34,9.28
Congo,2009,39.4,56.34,1,4,15.64,86.9,0.56,64.3,70.8,8.2,6.48,530,14.87,5.36,13.49,25000,327,3.83,19,3.79,8.4,25.1,39.74,1.91,1.9,5.26,9,8.06,22,6.5,104.46,26.4,0.1,847.6,,0.48,,,83.44
Ecuador,2009,62.5,74.84,6,3,89.74,21.9,24.6,52.1,52.9,6.5,2.68,8710,25.64,24.03,0.34,1600,60,20.1,22,22.75,32.3,14.7,55.15,24.4,7.58,6.7,39.34,,69,,1111.2,79.6,30.02,35.1,,24.47,97.24,17.9,8.92
Georgia,2009,52.7,73.82,6,1,64.46,16,20.07,78.7,55.5,16.9,1.81,5990,13.03,-6.17,8.52,1000,133,51.67,41,18.96,5.1,11.49,68.73,62.68,49.29,67.94,41.23,23.14,51,25.55,1757.67,89.9,41.36,3.7,6.81,19.63,99.96,4.9,15.4
Ghana,2009,50,60.36,3,4,63.77,51.7,5.44,71.6,66.8,2.2,4.29,2830,20.67,7.66,6.11,19000,187,59.81,39,45.97,8.3,7.19,47.44,53.59,52.61,54.07,62.09,12.61,84,8.79,265.13,13.3,3.88,24.8,9.34,5.09,76.48,1.8,20.23
Haiti,2009,50.5,60.82,1,5,37.36,60,8.1,58.3,59.7,7.1,3.41,1560,27.49,0.63,16.97,4800,238,11,18,16.59,4.1,,,3.35,5.21,20.1,29.86,,47,,35.73,25.5,,204,,2.87,,6.1,54.39
Honduras,2009,51.1,72.22,3,5,112.33,21.4,9.8,96.9,41.5,3.3,2.8,4030,20.6,2.75,3.21,1000,48,21.05,25,33.18,18,17.93,60.27,29.67,19.91,44.5,30.33,14.16,60,,689.28,76,16.83,45.6,,23.42,96.65,71.5,14.04
India,2009,30.6,66.1,3,7,44.12,48.2,5.12,46.8,30.2,3.9,2.69,3900,40.64,35.1,0.19,110000,254,38.28,34,10.9,10.8,17.82,48.46,55.98,54.98,42.58,60.19,9.94,76,16.1,601.55,34.6,5.31,66.1,98.69,9.6,95.64,3.4,31.1
Indonesia,2009,49.1,67.96,3,2,68.92,28.5,6.92,45.5,51.2,7.9,2.51,7540,30.99,33.79,0.2,68000,419,22.97,28,20.85,17.9,26.36,37.06,46.89,34.6,39.71,46.92,11.06,66,23.06,594.33,56,14.13,25,39.83,7.65,96.47,0.6,18.43
Jordan,2009,82.2,73.28,6,2,97.3,18.3,26,115.5,15.7,12.9,3.57,10490,26.3,3.64,3.04,,7.4,64.59,50,32.23,6.4,20.12,64.87,62.2,61.61,60.29,27.49,17.03,38,44.87,1993.34,98.4,25.46,30.6,133.62,17.82,,1.6,
Kazakhstan,2009,53.9,68.43,6,2,108.38,21.1,18.2,75.8,66.7,6.6,2.55,16370,29.41,37.33,0.29,1800,154,20.57,27,72.04,17.8,11.4,53.27,44.02,32.7,40.67,17.54,,30,,4447.36,97.3,56.97,4.8,24.22,3.37,99.45,11,0.17
Kenya,2009,23.2,57.8,3,4,48.62,44.3,10.04,50.9,61.2,9.4,4.7,2330,19.33,8.53,4.8,88000,314,11.96,22,9.48,9.8,13.39,52.87,33.01,16.11,48.33,35.55,15.55,54,4.05,145.61,29,7.62,44.6,29.62,4.63,84.01,5.6,39.64
Lebanon,2009,87.1,78.22,6,2,56.28,9.2,30.14,92.7,21.6,6.2,1.6,15040,26.31,1.79,1.66,200,14,22.01,25,8.06,3.1,8.6,78.53,38.76,29.86,52.63,35.07,16.98,51,48.99,3141.51,81.1,38.16,78.5,36.57,29.66,91.83,3.5,
Mali,2009,35.2,55.63,1,4,32.9,85,1.8,50.6,47.7,8.5,6.61,1720,22.02,14.92,9.9,9900,64,29.67,28,41.71,10.2,,37.88,22.97,45.02,38.28,50.24,12.99,70,5.86,,22,,86.9,,3.18,66.78,,49.25
Mexico,2009,77.5,75.88,6,5,71.46,15,26.34,56,42.8,5.2,2.39,14050,22.91,21.43,0.02,10000,20,49.28,33,22.27,27.6,16.64,62.19,60.29,33.65,57.42,54.98,,70,25.19,1863.54,81.6,41.62,19.5,39.34,13.68,95.42,17,3.8
Mongolia,2009,66.6,67.08,3,2,84.16,26.8,10,107.8,55.5,5.9,2.49,6820,34.37,27.11,8.46,100,428,24.4,27,68.72,3.9,7.08,47.35,30.14,46.45,44.02,53.08,16.54,82,51.47,1380,55.8,14.99,3,9.39,54.37,96.46,8.2,0.96
Pakistan,2009,36.2,64.88,3,2,55.46,74.8,7.5,32.1,22.8,5.2,3.9,4290,17.55,10.27,1.6,9600,276,14.35,24,1.42,22.2,13.39,55.89,24.88,21.33,33.01,22.27,8.94,40,6.93,460.3,53,4.01,16,18.96,8.6,73.31,7.5,9.9
Panama,2009,64.8,76.68,6,5,167.78,17.5,39.08,134.1,49.5,6.6,2.52,13390,30.43,30.49,0.26,1000,54,47.37,34,46.45,8.5,7.77,74.77,59.33,51.66,63.16,66.82,,83,43.37,1689.61,71.8,38.41,10.1,29.04,22.38,95.64,23,3.37
Papua New Guinea,2009,13,61.81,3,6,21.14,51.6,1.61,,70.9,2.5,4.04,1930,,,5.23,2200,432,4.78,21,20.38,0.9,,,25.84,17.54,31.58,48.82,,59,,,19,5.24,18.9,216.08,1.67,,10.4,39.31
Peru,2009,76.6,73.44,6,3,85.37,17.1,31.4,48.1,67.5,4.4,2.57,8450,19.98,24.75,0.39,3200,137,46.89,37,13.74,27.5,16.68,55.33,42.58,30.81,64.59,49.76,14.46,73,,1040.63,71.2,23.47,16.2,59.31,6.72,98.88,10.2,6.27
Philippines,2009,45.5,67.68,3,2,82.26,25.4,9,65.6,49.3,7.5,3.19,6830,16.59,15.47,0.14,3000,322,23.92,24,5.69,21,21.26,55.21,54.07,34.12,50.72,48.34,12.23,60,28.71,593.86,69.8,14.07,21.6,51.30,7.52,91.26,6.9,11.98
Russia,2009,73.6,68.6,6,7,160.1,10.9,29,48.4,57,8.3,1.54,18760,18.93,26.37,,,112,11.48,22,18.01,14,14.79,61.67,43.06,25.59,39.23,22.75,12.96,31,75.43,6095.38,72.3,72.4,1.8,62.30,34.63,96.23,11.1,0.04
Rwanda,2009,23,60.47,1,4,23.07,47.3,7.7,40,86.6,0.6,4.6,1220,23.67,7.42,17.71,9300,93,62.68,33,29.86,56.3,5.27,53.8,49.76,37.44,42.11,11.37,12.1,34,4.85,,56.3,0.82,10.1,,4.94,,3.8,61.8
Senegal,2009,42,63.29,1,4,54.83,48.3,7.5,65.7,65.5,9.9,5.17,2050,22.06,5.17,8.07,1800,136,36.36,30,38.39,22.7,14.01,59.37,38.28,43.6,43.54,36.02,17.98,72,7.77,188.61,44.6,,63.7,,3.92,69.57,,38.12
South Africa,2009,61.7,53.47,6,7,91.25,41.1,10,55.4,44.9,23.7,2.5,11210,20.73,21.13,0.37,340000,967,63.16,47,41.23,44.5,15,66.64,66.99,56.87,64.11,64.45,24.4,85,,4468.53,62.9,52.49,5.9,270.00,9.34,,33,16.78
Sri Lanka,2009,18.3,74.28,3,2,79.15,9.7,8.78,49.1,36.7,5.9,2.23,7640,24.43,17.94,1.69,500,66,44.02,31,10.43,5.8,,,50.72,53.55,44.98,32.23,12.8,52,,428.46,90.6,12.62,41.9,22.69,15.02,93.37,5.5,2.41
Tunisia,2009,65.8,74.45,3,4,93.21,15.7,34.07,94.4,24.8,13.3,2.05,9390,25,22.29,1.22,500,26,56.94,42,47.39,27.6,18.38,60.61,65.55,60.66,53.11,9.95,20.05,23,34.86,1284.63,88.3,17.89,5.7,,15,98.62,2.4,2.21
Venezuela,2009,88.7,73.57,6,3,98.39,14.5,32.7,38.5,51,7.8,2.5,16350,25.8,23.42,0.02,6100,28,9.09,19,12.32,17.5,14.75,49.7,15.79,2.37,4.31,23.7,,46,76.98,3033.87,92.6,26.93,24,,18.38,93.04,49,
Vietnam,2009,29.8,74.82,3,2,111.37,20.3,26.55,136.3,72.2,2.6,1.94,3950,37.16,26.8,3.68,19000,159,35.89,27,52.13,25.8,18.3,43.44,47.85,39.81,29.19,8.06,20.56,22,20.11,917.4,68.1,14.92,13.3,25.02,3.32,98.51,1.4,10.48
Albania,2010,52.2,77.04,6,1,85.47,14.8,45,85.5,45.2,14.2,1.66,9550,30.31,9.72,3.08,48,17,36.67,33,39.34,16.4,6.27,50.65,45.45,40.76,57.42,53.55,,65,44.54,1947.46,90.9,33.68,31.8,,23.81,91.03,4.4,0.71
Bangladesh,2010,30.5,70.08,3,2,44.95,39.2,3.7,37.8,56.9,4.5,2.33,2600,26.25,20.49,1.13,1400,225,14.76,24,9.95,18.6,16.89,56.05,25.84,25.59,22.49,37.44,7.83,59,,240.67,55.8,2.06,21.2,36.10,7.47,94.52,2.6,18.52
Bolivia,2010,66.4,66.41,3,3,70.69,36.8,22.4,75.5,63.7,3.3,3.2,5070,17.01,23.87,3.81,1500,135,39.05,28,30.33,25.4,13.94,49.86,37.8,14.22,23.44,47.39,,68,,604.34,46.7,20.11,96.3,17.24,8.6,,10.6,9.44
Brazil,2010,84.3,73.26,6,7,100.88,14.8,40.65,22.5,59.4,7.9,1.84,13880,21.8,20.76,0.02,43000,43,58.57,37,46.92,8.6,14.97,67.78,54.07,55.45,55.02,64.93,13.79,77,,2339.44,80.5,118.03,7.3,69.97,18.21,,20.9,5.84
Burundi,2010,10.6,54.83,1,4,18.17,63.8,1,48.1,83,7.1,6.3,690,30.52,0.26,31.24,3100,144,12.38,18,7.58,32.1,10.14,42.85,12.92,10.9,12.92,21.8,,45,3.15,,46.9,0.47,124.3,,2.09,91.52,3.7,74.41
Central African Republic,2010,38.8,47.63,1,4,22.51,101.7,2,38.3,72.5,6.9,4.62,870,14.27,-0.44,13.08,7700,431,21.43,21,3.79,9.6,6.74,31.99,5.26,7.11,11.96,14.22,9.06,39,2.56,,20.7,0.64,228.4,,0.83,69.69,,66.86
China,2010,49.2,75.01,6,7,63.17,13.5,34.3,48.9,63.5,4.2,1.54,9290,47.61,51.26,0.01,,78,32.38,35,25.12,21.3,31.54,44.07,58.37,45.02,44.5,5.21,10.19,17,23.95,2943.59,70.8,24.54,4.5,66.02,,,1,11.18
Colombia,2010,75,73.28,6,3,95.76,15.9,36.5,33.7,55.3,12,2.01,10260,22.13,20.3,0.24,10000,31,42.86,35,8.53,12.7,13.93,57.94,52.15,44.55,57.89,42.65,12.12,59,39.41,1077.98,79.3,34.01,14.7,72.64,41.7,97.22,32.7,8.06
Congo,2010,39.9,56.9,1,4,19.01,84.8,0.72,91.9,70.7,8.2,6.39,560,15.92,10.99,17.75,23000,327,2.38,20,2.84,8.4,17.85,42.28,1.44,2.37,4.31,9,8.77,21,,102.47,26.8,0.4,735.1,,0.59,,,81.32
Ecuador,2010,62.7,75.03,6,3,98.53,21.3,29.03,60.3,53.7,5,2.66,9030,28.04,23.52,0.21,1500,59,20,25,26.07,32.3,14.02,53.5,28.23,10.43,11,38.39,,68,,1143.78,80.7,35.05,32.6,,33.86,96.93,17.7,7.05
Georgia,2010,52.9,74,6,1,90.65,14.9,26.9,87.7,55.6,16.3,1.82,6390,21.59,3.77,5.57,1000,127,55.71,38,24.17,6.5,12.17,69.38,64.11,48.82,70.33,42.18,22.14,54,28.92,1976.82,89.3,45.99,5,9.11,20.2,,4.4,19.58
Ghana,2010,50.7,60.61,3,4,71.87,50.2,7.8,75.4,66.9,5.3,4.27,2970,26,9.57,5.34,18000,183,60.48,41,47.39,8.3,7.02,49.36,53.59,54.03,54.55,62.56,13.39,84,,282.76,13.7,3.93,30,9.16,5.36,,1.7,18.99
Haiti,2010,52,61.24,1,5,40.42,85.5,8.37,80.1,60.1,8.1,3.33,1480,25.41,-24,45.69,3700,229,7.14,22,16.59,11.1,,,2.87,4.74,17.22,28.44,,47,,24.4,25.9,,250.9,,2.45,,6.8,54.24
Honduras,2010,51.7,72.39,3,5,124.72,20.7,11.09,109.4,41.9,4.8,2.7,4050,21.88,3.96,4.22,1000,47,19.52,24,27.01,18,17.82,59.93,30.14,21.33,45.45,30.81,14.43,51,20.65,684.85,77.4,17.56,45.7,,20.59,96.06,83.1,15.47
India,2010,30.9,66.51,3,7,62.39,46.3,7.5,49.7,28.6,3.5,2.62,4270,40.67,36.16,0.17,100000,247,36.19,33,12.32,10.8,17.47,48.69,56.46,54.5,39.23,60.66,10.51,76,17.91,643.88,35.5,7.27,50.5,98.51,10.04,96.19,3.4,26.17
Indonesia,2010,49.9,68.15,3,2,87.79,27.4,10.92,46.7,51.2,7.1,2.51,8070,32.88,34.78,0.19,69000,415,25.24,28,20.85,18,22.04,40.67,47.37,31.75,37.32,47.87,10.54,65,24.2,636.55,57,13.06,25.8,47.73,8.12,96.81,0.4,15.95
Jordan,2010,82.5,73.44,6,2,102.56,17.8,27.2,117.3,15.6,12.5,3.55,10150,24.02,3.22,3.63,,6.5,59.52,47,34.6,10.8,19.16,65.86,59.33,61.14,56.94,27.49,15.91,34,40.5,2055.87,98.5,27.12,27.6,116.80,18.39,89.75,1.8,
Kazakhstan,2010,53.7,68.3,6,2,121.87,19.3,31.6,74.1,66.9,5.8,2.6,17110,25.37,39.72,0.18,1900,145,16.67,29,61.61,17.8,11.96,52.34,40.67,32.7,40.67,15.17,15.71,28,46.05,4728.1,97.4,61.45,1,18.02,3.26,99.65,9.5,0.12
Kenya,2010,23.6,58.72,3,4,61.03,42.4,14,54.2,61.5,9.3,4.63,2480,20.73,7.82,4.08,83000,299,18.57,21,13.27,9.8,12.62,51.38,36.36,17.06,50.24,39.81,15.73,52,,154.09,29.2,8.55,46.8,36.15,4.78,,5.6,41.15
Lebanon,2010,87.2,78.47,6,2,65.97,8.7,43.68,98.1,22,6.2,1.61,15740,24.83,-0.77,1.19,200,14,20.48,25,5.69,3.1,8.26,80.78,44.98,30.33,53.59,35.07,17.04,52,48.41,3478.78,80.9,38.84,75.3,33.41,29.2,93.36,3.8,
Mali,2010,36,56.18,1,4,53.2,82.9,2,58,50.2,8.1,6.55,1750,24.03,11.71,10.61,9700,63,30.95,27,37.91,10.2,,38.87,22.01,40.28,35.41,54.03,12.89,71,6.04,,22.4,2.68,79.7,,3.6,67.95,,48.8
Mexico,2010,77.8,76.03,6,5,77.52,14.4,31.05,60.9,43.8,5.2,2.36,14740,22.06,20.85,0.04,10000,21,44.76,31,22.75,26.2,17.27,61.45,60.29,34.12,58.37,54.98,,69,26.17,1903.98,82.3,43.74,21,43.22,14.07,96.27,21.7,3.8
Mongolia,2010,67.6,67.6,3,2,92.54,25,10.2,103.4,55.1,6.5,2.56,6920,42.09,32.09,4.57,100,428,26.67,27,67.3,3.9,7.59,49.95,34.93,43.13,44.02,50.24,19.59,85,53.82,1492.63,56.5,18.52,3.2,15.20,54.71,97.64,8.8,0.76
Pakistan,2010,36.6,65.16,3,2,57.28,73.5,8,32.9,23.9,5.1,3.86,4370,15.8,9.97,1.64,11000,276,13.33,23,0.47,22.2,13.64,55.13,24.88,27.49,30.62,26.07,9.98,43,,466.57,54.8,4.41,17.8,21.42,8.64,74.68,7.8,8.28
Panama,2010,65.1,76.86,6,5,180.7,17,40.1,141.8,48.8,6.5,2.51,13720,37.2,27.92,0.48,1000,53,45.71,36,42.18,8.5,7.51,75.17,59.81,51.66,63.64,63.98,,83,44.36,1759.7,72.3,39.77,10.2,28.87,22.71,97.99,21,4.57
Papua New Guinea,2010,13,61.99,3,6,27.83,50.3,1.28,,70.6,2.5,3.99,1990,,,5.61,2400,432,10.95,21,21.33,0.9,,,26.79,18.48,33.01,48.82,,59,,,19,5.77,27,113.49,1.72,,10.4,
Peru,2010,76.9,73.64,6,3,99.5,16.3,34.77,51.7,67.6,4,2.55,9040,23.76,27.74,-0.22,3100,132,50,35,17.06,27.5,16.99,53.46,47.85,33.18,68.42,51.66,15.47,72,40.51,1094.31,72,26.54,12.7,70.07,6.79,98.88,9.2,4.74
Philippines,2010,45.3,67.78,3,2,88.98,24.9,25,71.4,50.3,7.3,3.13,7360,20.54,18.73,0.2,4200,322,22.38,24,5.21,22.1,21.44,55.12,55.5,33.65,44.98,48.34,12.15,57,29.75,644.27,70.5,15.17,22.1,78.82,7.58,,9.6,12.35
Russia,2010,73.7,68.86,6,7,165.5,10.3,43,50.4,56.4,7.3,1.57,19860,22.62,30.69,,,101,14.29,21,18.96,14,14.82,61.44,39.71,26.07,40.19,25.12,13.05,27,,6409.9,72.3,95.54,2.6,62.38,35.05,,10.2,0.15
Rwanda,2010,24,61.4,1,4,32.75,43.8,8,41,86.7,0.6,4.44,1290,23.2,6.53,18.24,9000,88,71.43,40,38.86,56.3,5.45,54.56,52.63,45.97,46.41,11.85,12.42,34,5.57,,57.2,1.42,8.8,,4.95,98.51,4.9,60.25
Senegal,2010,42.2,64.01,1,4,64.43,46.7,8,65.2,65.7,9.1,5.17,2110,22.04,6.64,7.33,1600,136,28.1,29,31.75,22.7,13.85,59.23,35.89,41.23,42.58,36.02,18.68,72,7.39,198.51,45.1,3.92,63.1,,4.17,70.22,,38.05
South Africa,2010,62.2,54.39,6,7,97.9,38.2,24,56,43.5,24.7,2.47,11530,19.51,20.75,0.28,350000,948,61.43,45,46.45,44.5,14.38,67.21,66.03,57.82,62.2,66.35,25.04,84,,4582.42,63.5,56.83,6,246.44,10.03,,30.9,16.67
Sri Lanka,2010,18.3,74.34,3,2,83.62,9.4,12,46.4,34.8,4.9,2.2,8300,30.35,23.09,1.04,500,66,43.33,32,18.01,5.3,20.11,60.86,48.8,53.55,45.93,30.33,11.3,52,16.35,462.97,91.7,13.46,33.9,35.12,15.98,95.04,3.8,2.25
Tunisia,2010,65.9,74.6,3,4,104.54,14.9,36.8,105.8,24.9,13,2.13,9750,26.71,21.91,1.31,500,28,54.76,43,44.08,27.6,17.99,60.26,63.16,59.72,53.11,9.95,20.14,23,35.17,1376.4,89,20.64,5,24.18,16.52,99.63,2.7,1.99
Venezuela,2010,88.8,73.67,6,3,96,14.3,37.37,46.1,50.5,8.6,2.47,15970,21.97,32.9,0.01,6000,28,8.1,20,11.85,17,12.82,42.05,12.44,1.42,3.83,23.22,,43,,3134.43,93,37.67,30.2,,17.18,93.86,45.1,
Vietnam,2010,30.4,74.99,3,2,125.29,19.8,30.65,152.2,72.3,2.6,1.95,4230,35.69,27.48,2.64,19000,155,31.43,27,50.71,25.8,12.95,36.94,45.93,34.6,28.23,8.53,22.32,21,22.69,1034.61,69.7,17.23,12.1,25.98,3.25,98.14,1.5,4.78
Albania,2011,53.2,77.24,6,1,98.29,14.3,49,90.8,45.1,14,1.7,10180,31.41,8.68,2.96,72,17,28.44,31,38.39,15.7,6.51,50.89,47.87,38.5,56.87,51.64,,66,49.67,2195,91.5,34.91,29.3,,23.85,93.23,4.9,0.88
Bangladesh,2011,31.2,70.47,3,2,55.19,37.2,4.5,47.4,57.1,4.5,2.29,2780,27.42,19.84,1.07,1300,225,14.69,27,9,19.7,16.86,55.9,24.64,28.64,22.75,37.09,8.69,60,13.28,258.48,56.8,3.62,19.5,37.08,7.67,,2.6,17.32
Bolivia,2011,66.9,66.94,3,3,80.91,35.3,30,82.5,63.9,2.7,3.13,5330,19.82,25.52,3.16,1500,131,35.55,28,32.23,25.4,13.24,48.58,40.28,15.96,24.17,46.01,,66,,637.31,47.5,24.59,86.4,17.21,9.3,,10.2,7.96
Brazil,2011,84.6,73.55,6,7,119,14.4,45.69,23.7,59.5,6.7,1.82,14580,21.81,21.04,0.03,43000,45,63.03,38,40.76,8.6,13.87,67.7,49.76,56.34,55.92,62.44,14.4,78,43.46,2394.4,81.1,115.39,5.4,47.00,18.75,95.7,21.5,5.5
Burundi,2011,10.9,55.31,1,4,20.07,61.6,1.11,47,83.1,7.1,6.21,710,27.59,-0.72,24.4,2800,138,10.9,19,5.21,30.5,9.67,42.75,14.22,13.62,17.54,23.47,,35,2.98,,47.2,0.64,116.8,,2.29,,3.6,73.6
Central African Republic,2011,39,48.35,1,4,22.37,99.7,2.2,33.3,72.5,6.9,4.54,900,14.86,4.43,12.09,7700,402,20.38,22,4.74,12.5,6.6,31.62,8.06,7.98,10.43,15.96,8.3,37,2.99,,21.1,0.89,175.5,,0.85,67.77,,67.16
China,2011,50.6,75.2,6,7,72.07,12.5,38.3,50.6,63.7,4.3,1.54,10290,47.69,50.07,-0.01,,77,35.07,36,27.96,21.3,31.28,44.16,59.24,43.19,44.08,5.63,10.28,17,24.87,3298,71.9,29.99,3.6,45.06,,,0.9,7.9
Colombia,2011,75.3,73.45,6,3,98.13,15.4,40.35,38.7,55.5,11.1,1.98,10970,23.88,22.68,0.32,10000,32,48.34,34,12.32,12.1,13.53,55.57,56.4,47.42,62.09,46.48,14.56,61,43.5,1121.4,79.8,31.67,8,60.01,70.84,97.32,34.1,6.58
Congo,2011,40.4,57.4,1,4,24.47,82.6,1.2,95,70.7,8.2,6.29,580,16.18,11.89,24.5,22000,327,2.84,20,2.37,,17.58,42.2,1.9,1.88,5.21,7.51,,21,7.81,105.91,27.2,0.48,551.4,,0.6,,,79.2
Ecuador,2011,62.9,75.23,6,3,100.57,20.7,31.37,64.5,54.1,4.2,2.63,9770,28.14,25.89,0.21,1400,59,22.27,27,24.17,32.3,13.51,51.07,33.65,11.74,15.64,36.62,,67,,1217.35,81.7,40.78,28.8,,41.85,,15.5,5.86
Georgia,2011,53,74.18,6,1,101.28,13.8,31.52,91,55.9,15.1,1.82,7100,26.16,7.63,4.2,1000,122,56.87,41,27.01,6.6,13.07,67.35,69.19,51.64,73.93,42.72,23.83,56,31.18,2219.1,88.7,48.76,4.3,5.51,22.57,99.36,,17.79
Ghana,2011,51.4,60.81,3,4,85.27,48.6,9,86.3,67,4.6,4.26,3320,26.44,14.02,4.7,16000,178,59.24,39,52.61,8.3,7.06,47.73,53.55,54.46,55.45,61.97,14.87,84,12.08,320.96,14,4.06,26.4,7.83,5.38,83.85,1.7,17.75
Haiti,2011,53.5,61.65,1,5,41.86,57.5,9,76.4,60.3,6.8,3.25,1570,27.86,-13.67,22.37,2800,220,6.64,18,16.59,4.2,,,2.37,5.16,15.17,26.76,,45,,31.15,26.3,,314.2,,2.6,,9,54.09
Honduras,2011,52.3,72.57,3,5,103.67,19.9,15.9,122.2,42.2,4.4,2.6,4200,26,6.3,3.72,1000,52,21.8,26,33.18,19.5,18.5,56.93,36.49,19.25,49.29,31.46,14.79,52,,738.84,78.7,23.11,45.3,,20.93,97.51,93.2,18.75
India,2011,31.3,66.9,3,7,73.2,44.4,10.07,55.6,27.8,3.5,2.56,4590,39.58,33.03,0.18,99000,241,33.18,31,11.37,11,17.39,48.97,54.98,52.11,39.81,60.56,10.18,76,22.86,698.43,36.5,8.85,42,55.25,10.51,95.76,3.5,21.23
Indonesia,2011,50.7,68.33,3,2,102.46,26.3,12.28,50.2,51.3,6.6,2.51,8610,32.98,35.46,0.05,69000,410,26.54,30,22.27,18.2,21.76,40.58,46.92,31.92,40.76,47.89,11.16,65,26.5,680.68,57.9,16.49,23.5,43.69,14.74,96.35,0.6,13.58
Jordan,2011,82.7,73.59,6,2,111.16,17.3,34.9,121.5,15.6,12.9,3.53,10230,25.45,-0.75,3.4,,6.1,61.14,45,29.86,10.8,19.38,65.57,58.29,61.97,60.19,26.29,14.95,34,40.33,2093.23,98.5,27.88,23.6,94.25,18.54,88.67,2.1,
Kazakhstan,2011,53.6,68.98,6,2,156.79,17.5,50.6,73.1,67.3,5.4,2.59,18220,23,42.81,0.12,2100,135,18.01,27,36.49,17.8,12.16,53.64,42.18,32.39,43.13,16.9,18.26,28,48.47,4892.91,97.4,64.9,0.8,11.70,3.33,99.26,9.6,0.03
Kenya,2011,24,59.53,3,4,66.81,40.3,28,60.4,61.7,9.2,4.56,2620,21.7,4.51,5.91,81000,285,18.48,22,12.8,9.8,13.08,49.68,36.02,17.37,45.5,38.97,15.95,56,,155.02,29.4,9.26,45.2,24.32,5.06,,6.4,42.66
Lebanon,2011,87.3,78.69,6,2,77.19,8.3,52,100.4,22.4,6.2,1.64,15620,26.74,-1.21,1.19,200,12,19.91,25,5.69,3.1,8.22,79.75,45.97,30.52,52.13,34.27,16.32,52,49.74,3340.16,80.7,37.81,67.3,22.57,28.57,93.33,3.7,
Mali,2011,36.8,56.65,1,4,75.07,81,2.2,53.9,50.4,8.1,6.47,1800,19.72,11.26,10.13,9500,62,34.12,28,25.59,10.2,,39.95,23.22,37.56,37.91,54.93,12.55,72,6.34,,22.9,3.19,90.5,,4.2,69.08,,48.35
Mexico,2011,78.1,76.19,6,5,79.24,13.8,37.18,63.8,43.2,5.3,2.33,15790,22.26,21.01,0.08,11000,21,42.18,30,25.12,26.2,17.05,60.33,63.51,35.21,58.77,53.52,,66,27.04,2074.24,83,43.36,19.1,34.90,14.08,97.03,22.6,3.24
Mongolia,2011,68.5,68.12,3,2,106.83,23.4,12.5,127,55.6,4.8,2.61,8170,58.15,36.26,3.65,100,428,27.01,27,66.35,3.9,8.09,52.37,34.6,46.95,45.97,49.77,18.47,85,55.68,1501.95,57.2,31.53,2.9,15.16,65.85,98.04,9.6,0.57
